"ArtNumber";"Title";"Description_Short";"DisplayPrice";"Img_url";"Deeplink1";"ProductCategoryID";"ProductCategoryName";"ProgramID";"ShopCategoryID";"PricePrefix";"Price";"PriceSuffix";"Currency_Symbol";"Price_old";"Description";"AffilinetProductCategoryID";"AffilinetProductCategoryName";"Img30_url";"Img60_url";"Img90_url";"Img120_url";"Img180_url";"Deeplink2";"Keywords";"Manufacturer";"Brand";"Distributor";"update_date";"valid_from";"valid_to";"EAN";"ShippingPrefix";"Shipping";"ShippingSuffix";"Shipping_Currency_Symbol";"DisplayShipping";"ProductProgramID";"ProductID";"ImageID";"BasePrice";"BasePriceSuffix";"BasePricePrefix";"BasePrice_Currency_Symbol";"DisplayBasePrice";"product_id";"city";"zipcode";"provider";"date_max";"tags";"active"
"T-1305130152";"Dorn Therapie Massage München - Wirbeleinrichten durch Dorn Methode";"Lindern Sie jetzt Ihre Schmerzen mit der Dorn Therapie, die sanfte Methode gegen Rückenleiden. Profitieren Sie von diesem Angebot, schenken Sie Ihren Körper Erholung, Entspannung und Stärkung und nutzen Sie den 5€ Onlinevorteil.";"40.00 EURO ";"http://www.regiondo.de/media/catalog/product//s/h/shutterstock_95679289.jpg";"http://partners.webmasterplan.com/click.asp?ref=544784&site=10177&type=text&tnb=9&diurl=http://www.regiondo.de/dornmethode-munchen-wirbeleinrichten-nach-der-dornmethode";36128453;"Wellness & Entspannung > Massage";10177;null;"";40.00;"";"EURO";;"Herzlich Willkommen beim Vivamus Institut!  Sie plagen Rückenschmerzen oder Gelenkbeschwerden?  Lindern Sie jetzt Ihre Schmerzen mit der Dorn Therapie  Die Dorn methode ist eine seit Jahrzehnten erprobte Erfolgsstrategie bei:  * Rückenschmerzen  * Ischiasbeschwerden  * Iliosacralgelenksproblemen  * Schulterschmerzen  * Kopfschmerzen  * Schwindel  Die Dorn Therapie ist eine von dem Allgäuer Landwirt Dieter Dorn 1975 entwickelte komplementärmedizinische Methode.  Probieren Sie die Dorn Therapie beim Vivamus Institut aus zum Regiondo Vorzugspreis von 40 € statt 45 €!";17;"Freizeit & Hobby";"http://images30.affili.net/002340/2/a9bf605bd489bdd8c9bbb10617b710a2.jpg";"http://images60.affili.net/002340/2/a9bf605bd489bdd8c9bbb10617b710a2.jpg";"http://images90.affili.net/002340/2/a9bf605bd489bdd8c9bbb10617b710a2.jpg";"http://images120.affili.net/002340/2/a9bf605bd489bdd8c9bbb10617b710a2.jpg";"http://images180.affili.net/002340/2/a9bf605bd489bdd8c9bbb10617b710a2.jpg";"";"Dornmethode München, Wirbeleinrichten, Rückenschmerzen, Rückentraining,";"";"";"";"10/31/12";"";"";"";"";;"";"EURO";"";2340;780096749;474533251;;"";"";"EURO";"";"000000020";"München";"81677";"";"";"Rückenschmerzen,Dorn,ISG,Dornmethode,Wirbeleinrichten";"yes"
"T-1340638440";"Gesichtspflege in Schwerin - Akne-Behandlung mit Naturprodukten";"Akne ist für viele Menschen ein sehr störendes Problem. In unserer Naturheilpraxis behandeln wir sie ganzheitlich mit Naturprodukten und einer individuellen Beratung. Die Anwendung ist auch für jugendlichen Haut geeignet.";"22.00 EURO ";"http://www.regiondo.de/media/catalog/product//p/i/pic_wellness_beauty_gesichtsmaske_regiondo_cm_20110607_5_4.jpg";"http://partners.webmasterplan.com/click.asp?ref=544784&site=10177&type=text&tnb=9&diurl=http://www.regiondo.de/beauty-pflege-schwerin-anti-akne-maske-mit-naturprodukten";36128454;"Wellness & Entspannung > Beauty & Pflege";10177;null;"";22.00;"";"EURO";;"Gönnen Sie Ihrer Haut eine wohltuende Gesichtspflege  Machen Sie Schluss mit unreiner Haut mit unserer Akne-Behandlung mit reinen Naturprodukten  Freuen Sie sich auf dieses Erlebnis und lassen Sie sich von den umfassenden Möglickeiten unserer Naturprodukte überraschen.  Sichern Sie sich Ihre Akne-Behandlung mit reinen Natruprodukten im Gesundheitszentrum-Schwerin       Sie leiden an unreiner Haut oder sogar an Akne? Dann sind Sie bei diesem Angebot vom Gesundheitszentrum-Schwerin genau richtig. Es wartet auf Sie eine wohltuende Gesichtspflege mit hochwertigen Naturprodukten.  In der Naturheilpraxis bekommen Sie eine individuelle Beratung sowie eine ganzheitliche Behandlung mit reinen Naturprodukten  Lassen Sie sich verwöhnen.  Die Akne-Behandlung mit reinen Naturprodukten wirkt anti-entzündlich und verbessert das Hautbild auf natürliche Art und Weise. Sie werden gleich merken, wie sich Ihr Hautbild spürbar verändert. Reine Naturprodukte wirken mildernd auf die Haut, sie fördern die Durchblutung und wirken antientzündlich.  Sichern Sie sich Ihre 30-minütige Gesichtsbehandlung mit Naturprodukten in Schwerin und freuen sie sich auf eine reine Haut. Buchen Sie jetzt online bequem mit Regiondo.de - Nutzen Sie Ihre Freizeit!";17;"Freizeit & Hobby";"http://images30.affili.net/002340/b/14c4ff261819c7f533c411894c25063b.jpg";"http://images60.affili.net/002340/b/14c4ff261819c7f533c411894c25063b.jpg";"http://images90.affili.net/002340/b/14c4ff261819c7f533c411894c25063b.jpg";"http://images120.affili.net/002340/b/14c4ff261819c7f533c411894c25063b.jpg";"http://images180.affili.net/002340/b/14c4ff261819c7f533c411894c25063b.jpg";"";"Anke, Maske, Pflege, Naturheilkunde, Naturprodukte";"";"";"";"10/31/12";"";"";"";"";;"";"EURO";"";2340;780096750;474533252;;"";"";"EURO";"";"000000037";"Schwerin";"19053";"";"";"Maske,Pflege,Naturheilkunde,Naturprodukte";"yes"
"T-1340705129";"Beauty & Pflege in Schwerin - Regenerierende Anti-Falten-Maske";"Im Gesundheitszenturm-Schwerin erwartet Dich eine wohltuende 30-minütige regenerierende Anti-Falten-Maske. Es werden nur hochwertige, Naturprodukte für die Behandlung verwendet. Fühle Dich wieder Jung und Frisch!";"20.00 EURO ";"http://www.regiondo.de/media/catalog/product//2/6/265x265_cropped_530507b72690fce6b8c20c16b21c73d5_PIC_Wellness_Beauty_EL_popup_800_x_600.jpg";"http://partners.webmasterplan.com/click.asp?ref=544784&site=10177&type=text&tnb=9&diurl=http://www.regiondo.de/beauty-pflege-schwerin-regenerierende-anti-falten-maske-mit-naturprodukten";36128454;"Wellness & Entspannung > Beauty & Pflege";10177;null;"";20.00;"";"EURO";;"Gönne Dir deiner Haut eine wohltuende Gesichtspflege  Entspanne während der hochwertigen Behandlung mit reinen Naturprodukten  Freue Dich wieder auf ein junges, frisches Aussehen  Sichere Dir die 30-minütige regenerierende Anti-Falten-Maske       Regenerierende Anti-Falten-Maske mit reinen Naturprodukten  Gestresst vom Alltag oder von der Arbeit? Dann gönne Dir und Deiner Haut etwas Gutes. Unter dem Motto „Lasse Dich und Deine Haut verwöhnen!“ wirst Du im Gesundheitszentrum-Schwerin eine wohltuende Gesichtsbehandlung erleben.  Die Anti-Falten-Maske in Schwerin reinigt die Haut bis in die Tiefe und quellt die Hautfalten im Gesicht auf natürliche Weise leicht auf. Es wird dadurch auf natürliche Weise die Haut gestrafft und die Falten reduziert. Zudem steigert die regenerierende Anti-Aging-Maske die Durchblutung und wirkt so der Hautalterung entgegen. Bei der gesamten Behandlung werden nur reine Naturprodukte verwendet.  Los geht’s! Fühle Dich nach der 30-minütigen regenerierenden Anti-Falten-Maske wieder jung und frisch. Buche jetzt online bequem und sicher mit Regiondo.de - Nutzt Deine Freizeit!";17;"Freizeit & Hobby";"http://images30.affili.net/002340/6/8086d1242da6339d95b6bf64c343a846.jpg";"http://images60.affili.net/002340/6/8086d1242da6339d95b6bf64c343a846.jpg";"http://images90.affili.net/002340/6/8086d1242da6339d95b6bf64c343a846.jpg";"http://images120.affili.net/002340/6/8086d1242da6339d95b6bf64c343a846.jpg";"http://images180.affili.net/002340/6/8086d1242da6339d95b6bf64c343a846.jpg";"";"Falten, Kosmetik, Naturprodukte, Naturheilkunde";"";"";"";"10/31/12";"";"";"";"";;"";"EURO";"";2340;780096751;474533253;;"";"";"EURO";"";"000000038";"Schwerin";"19053";"";"";"Falten,Kosmetik,Naturprodukte,Naturheilkunde";"yes"
"T-1347007747";"Massage in Schwerin - Klassische Rückenmassage";"Im Gesundheitszentrum-Schwerin wird Deinen Verspannungen im Rückenbereich der Kampf angesagt. Genieße eine wohltuende 30-minütige Rückenmassage und spüre wie sich die Verspannung fast in Luft auflösen.";"18.00 EURO ";"http://www.regiondo.de/media/catalog/product//s/h/shutterstock_79598344_4_2.jpg";"http://partners.webmasterplan.com/click.asp?ref=544784&site=10177&type=text&tnb=9&diurl=http://www.regiondo.de/massage-schwerin-klassische-ruckenmassage";36128453;"Wellness & Entspannung > Massage";10177;null;"";18.00;"";"EURO";;"Gönne Dir eine wohlverdiente Auszeit  Spüre, wie sich Deine Verspannungen im Rückenbereich lösen  Freue Dich auf Entspannung und Erholung  Sichere Dir die 30-minütige Rückenmassage im Gesundheitszentrum Schwerin    Dein Rücken ist vom langen Sitzen schon völlig verspannt? Dann bist Du im Gesundheitszentrum-Schwerin genau richtig. Dich erwartet eine wohltuende, klassische Rückenmassage, mit der Deinen Verspannungen der Kampf angesagt wird, mit der Deinen Verspannungen der Kampf angesagt wird.  Im Gesundheitszentrum findest Du ein perfektes Angebot für Deine Entspannung! Bei der Rücken Massage werden gezielt Verspannungen ertastet und massiert. Gönne Deinem Körper einmal eine Zeit von Ruhe und Erholung, er wird es Dir danken!  Die wohltuende und erholsame Behandlung der Nacken-, Rücken- und Lendenregion bietet nicht nur Entspannung für die Muskulatur, sondern bietet durch die Verwendung von hochwertiger Lotion und Einreibungen ein ganz besonderes Erlebnis für die Haut.  Los geht’s! Gönne Dir und Deinem Rücken etwas Gutes und sichere Dir die 30-minütige klassische Rückenmassage in Schwerin. Buche jetzt online bequem und sicher mit Regiondo.de - Nutze Deine Freizeit!";17;"Freizeit & Hobby";"http://images30.affili.net/002340/1/40173eb859da216c16458716dbd52bf1.jpg";"http://images60.affili.net/002340/1/40173eb859da216c16458716dbd52bf1.jpg";"http://images90.affili.net/002340/1/40173eb859da216c16458716dbd52bf1.jpg";"http://images120.affili.net/002340/1/40173eb859da216c16458716dbd52bf1.jpg";"http://images180.affili.net/002340/1/40173eb859da216c16458716dbd52bf1.jpg";"";"Rückenmassage, Massage, Wellness, Heilpraktiker, Naturheilkunde";"";"";"";"10/31/12";"";"";"";"";;"";"EURO";"";2340;780096752;474533254;;"";"";"EURO";"";"000000039";"Schwerin";"19053";"";"";"Rückenmassage,Massage,Wellness,Heilpraktiker,Naturheilkunde";"yes"
